,TITLE,ORCHESTRA,SINGER,STYLE,DATE,COMPOSER,AUTHOR,SOLOIST,DIRECTOR
0,Japonesita,Adolfo CARABELLI,,FOXTROT,1927-08-03,Antonio Bonavena,Antonio Bonavena,,
1,El aeroplano,Adolfo CARABELLI,,VALS,1927-11-02,Pedro Datta,,,
2,Canta guitarra,Adolfo CARABELLI,Alberto Gomez,PASODOBLE,1931-00-00,Angel Ortiz de Villajos,Mariano Bolaños Recio y Alfonso Jofre de Villegas,,
3,Cantando,Adolfo CARABELLI,Alberto Gomez y Mercedes Simone,TANGO,1931-09-04,Mercedes Simone,Mercedes Simone,,
4,Mi refugio,Adolfo CARABELLI,Alberto Gomez,TANGO,1931-09-04,Juan Carlos Cobián,Pedro Numa Córdoba,,
5,Sinverguenza alabancioso,Adolfo CARABELLI,Mercedes Simone,RANCHERA,1931-09-07,José Laina,Juan Bautista Abad Reyes,,
6,Mentira,Adolfo CARABELLI,Carlos Lafuente,TANGO,1931-10-02,Francisco Pracánico,Celedonio Flores,,
7,Que salga el toro,Adolfo CARABELLI,,PASODOBLE,1931-10-02,?,?,,
8,Me vuelves loco,Adolfo CARABELLI,Alberto Gomez,FOXTROT,1931-11-02,Walter Donaldson,Francisco Antonio Lío,,
9,Por qué,Adolfo CARABELLI,Alberto Gomez,TANGO,1931-11-02,Osvaldo Fresedo,Emilio Fresedo,,
10,El cantar de los gitanos,Adolfo CARABELLI,Carlos Lafuente,PASODOBLE,1931-12-24,Pascual De Luca,Pascual De Luca,,
11,Carmencita la gitana,Adolfo CARABELLI,Alberto Gomez,PASODOBLE,1932-00-00,?,?,,
12,El pensamiento (2),Adolfo CARABELLI,Carlos Lafuente,TANGO,1932-00-00,José Martínez,Francisco García Jiménez,,
13,Jamás podré olvidarte,Adolfo CARABELLI,Alberto Gomez,VALS,1932-00-00,Julio De Caro,Mario César Gomila,,
14,Milonga sentimental,Adolfo CARABELLI,Carlos Lafuente,MILONGA,1932-00-00,Sebastián Piana,Homero Manzi,,
15,Paseandome con mi novia,Adolfo CARABELLI,,FOXTROT,1932-00-00,?,?,,
16,Tango del querer,Adolfo CARABELLI,Alberto Gomez y Alberto Vila,TANGO,1932-02-05,Andrés Domenech,Ricardo Lleras,,
17,Olvidao,Adolfo CARABELLI,Charlo,TANGO,1932-03-18,Guillermo Barbieri,Enrique Cadícamo,,
18,Clyde,Adolfo CARABELLI,Carlos Lafuente,VALS,1932-03-21,Héctor Bates,Venancio Clauso,,
19,Cuando miran tus ojos,Adolfo CARABELLI,Luis Díaz,VALS,1932-05-06,José María Aguilar,Enrique Cadícamo,,
20,Desconfianza,Adolfo CARABELLI,Luis Díaz,TANGO,1932-05-06,Edgardo Donato,Manuel Romero,,
21,Manon,Adolfo CARABELLI,Alberto Gomez,TANGO,1932-05-20,Arturo De Bassi,Antonio Miguel Podestá,,
22,El puñal sevillano,Adolfo CARABELLI,Alberto Gomez,PASODOBLE,1932-05-24,?,?,,
23,Por dónde andará,Adolfo CARABELLI,Alberto Gomez,TANGO,1932-05-24,Salvador Merico,Atilio Supparo,,
24,Inspiracion,Adolfo CARABELLI,Alberto Gomez,TANGO,1932-06-17,Peregrino Paulos,Luis Rubistein,,
25,Felicia,Adolfo CARABELLI,,TANGO,1932-06-24,Enrique Saborido,Carlos Mauricio Pacheco,,
26,Rodriguez Peña,Adolfo CARABELLI,Alberto Gomez,TANGO,1932-06-24,Vicente Greco,Juan Velich,,
27,Castañuelas (2),Adolfo CARABELLI,Alberto Gomez,PASODOBLE,1932-07-19,Alfredo Marengo y José Adolfo Zatzkin,Alfredo Marengo y José Adolfo Zatzkin,,
28,Negra Consentida,Adolfo CARABELLI,Alberto Gomez,RUMBA,1932-07-19,?,?,,
29,Volvé,Adolfo CARABELLI,Mercedes Simone,TANGO,1932-07-26,Edgardo Donato,Luis Bayón Herrera,,
30,Hamacandose,Adolfo CARABELLI,,FOXTROT,1932-09-07,?,?,,
31,Sentado en un tanque,Adolfo CARABELLI,,FOXTROT,1932-09-07,?,?,,
32,Alma,Adolfo CARABELLI,Alberto Gomez,TANGO,1932-09-09,Federico Scorticati,Juan Sarcione,,
33,Loco,Adolfo CARABELLI,Alberto Gomez,TANGO,1932-09-09,Niels Paulos,Luis Rubistein,,
34,El trece,Adolfo CARABELLI,Alberto Gomez,TANGO,1932-09-27,Albérico Spátola,Angel Gregorio Villoldo,,
35,El Caburé,Adolfo CARABELLI,,TANGO,1932-10-28,Arturo De Bassi,Roberto Lino Cayol,,
36,La guiñada,Adolfo CARABELLI,,TANGO,1932-10-28,Agustín Bardi,,,
37,No le quiero mirar,Adolfo CARABELLI,Mercedes Simone y Carlos Lafuente,VALS,1932-12-30,Pablo Rodríguez,Pablo Rodríguez,,
38,Campanita del suburbio,Adolfo CARABELLI,Charlo,TANGO,1933-00-00,Pedro Lloret,Jaime Lloret Reos,,
39,Capullito de aleli,Adolfo CARABELLI,Carlos Lafuente,FOXTROT,1933-00-00,?,?,,
40,Cuando canta mi guitarra,Adolfo CARABELLI,Carlos Lafuente,PASODOBLE,1933-00-00,?,?,,
41,Deci que si,Adolfo CARABELLI,Alberto Gomez,VALS,1933-00-00,Azucena Maizani y Orestes Cúfaro,Alberto Pidemunt,,
42,Florida ventana de Granada,Adolfo CARABELLI,,PASODOBLE,1933-00-00,?,?,,
43,La gaucha Petrona (Petiza y panzona),Adolfo CARABELLI,Carlos Lafuente,VALS,1933-00-00,Enrique Delfino,Mario Rada,,
44,Madrileña castiza,Adolfo CARABELLI,Alberto Gomez,PASODOBLE,1933-00-00,Adolfo Carabelli,Ginés Miralles,,
