,Title,Vocalist(s),Instrumentalist(s),Year,Mo,Da,Genre
2,(Intro con Bondis),-unspecified male-,Tangodrims,,,,electro
3,(Recuerdo text),-unspecified male-,Sexteto Canyengue,,,,text
4,1 y 1,Raúl Berón,"Enrique Francini, Armando Pontier",1947,08,13,tango
5,13,Ángel Vargas,Ángel D'Agostino,1943,03,12,tango
6,15 años,Romeo Gavioli,Romeo Gavioli,,,,vals
7,1810,Romeo Gavioli,Romeo Gavioli,,,,candombe
8,1900,Teófilo Ibáñez,Edgardo Donato,,,,tango
9,1900,Jorge Omar,Minotti Di Cicco,,,,tango
10,1900,Tania,Alberto Castellano,,,,tango
11,1900,Carlos Lafuente,Los Provincianos,1932,01,05,tango
12,1900,Charlo,-unspecified guitars-,1932,01,05,tango
13,1937,Luis Díaz,Julio De Caro,1938,01,10,tango
14,24 de agosto,Alberto Podestá,Pedro Laurenz,1943,04,16,tango
15,25 de mayo,Charlo,Francisco Canaro,1930,11,10,ranchera
16,25 de mayo,Charlo,Francisco Canaro,1930,11,19,ranchera
17,25 de mayo,Roberto Maida,Francisco Canaro,1938,05,09,tango
18,32 escalones,Julio Sosa,,,,,?
19,32 escalones,Julio Sosa,,,,,?
20,4 compases,Alberto Castillo,Ricardo Tanturi,1942,11,04,tango
21,6 en 1 (primera parte),Charlo,Francisco Canaro,1932,01,12,selección
22,6 en 1 (segunda parte),-choir-,Francisco Canaro,1932,01,12,selección
23,8 en 1 (primera parte),"Agustín Irusta, -choir-",Francisco Canaro,1932,06,08,selección
24,8 en 1 (segunda parte),"Agustín Irusta, -choir-",Francisco Canaro,1932,06,08,selección
27,?CUAnDO EL DOLOR HIERE EL ALMA,Juan Carlos Rolón,Francisco Canaro,1957,09,12,
28,A bailar,Roberto Goyeneche,,,,,tango
29,A bailar,Francisco Fiorentino,Aníbal Troilo,1943,11,05,tango
30,A bailar,Armando Moreno,Domingo Federico,1953,11,04,tango
31,A bailar,Alfredo Belusi,José Basso,,,,tango
32,A bailar,Roberto Goyeneche,Raúl Miguel Garello,,,,tango
33,A bailar,Orlando Medina,Ricardo Malerba,1943,11,08,tango
34,A bailar,Roberto Goyeneche,Orquesta Típica Porteña,1977,12,13,tango
35,A barquinazos,Mario Alonso,Osvaldo Pugliese,,,,?
36,A Buenos Aires,Edmundo Rivero,,,,,tango
37,A cara limpia,Luis Scalón,Anselmo A. Aieta,1930,07,04,tango
38,A Cátulo Castillo - Maria,Susana Rinaldi,,,,,tango canción
39,A chirolita,Alberto Castillo,Jorge Dragone,,,,tango
40,A contramano,Charlo,Francisco Canaro,1928,04,04,tango
41,A contramano,Charlo,Francisco Lomuto,1928,03,10,tango
42,A contramano,Carlos Gardel,"Guillermo Barbieri, José Ricardo, José María Aguilar",1929,03,01,tango
43,A dios le gusta el tango,Néstor Peña,Mario Canaro,,,,tango
44,A Don Nicanor Paredes,Edmundo Rivero,,,,,tango
45,A donde vas Pierrot,Carlos Viván,Juan Félix Maglio,1928,02,27,tango
46,A eso e' la media noche,"Agustín Magaldi, Pedro Noda",-unspecified guitars-,1927,09,07,aire provinciano
47,A España,Alberto Castillo,Ángel F. Condercuri,1956,01,31,paso doble
48,A fuego lento,Edmundo Rivero,Horacio Salgán,,,,tango
49,A garufiar,Luis Díaz,Edgardo Donato,,,,tango
50,A Guaminí,Nelly Omar,José Canet,,,,vals
51,A Homero,Rubén Juárez,,,,,tango
52,A Homero,Roberto Goyeneche,,,,,tango
53,A Homero,Ricardo Olivera,,,,,tango
54,A Homero,Roberto Goyeneche,Aníbal Troilo,1961,08,18,tango
55,A Homero,Rubén Juárez,Raúl Miguel Garello,,,,tango
56,A la deriva,Teófilo Ibáñez,Osvaldo Fresedo,1931,12,11,tango
57,A la deriva,Rafael Cisca,Pedro Maffia,,,,tango
58,"A la fiesta, chicas",Alberto Diale,Roberto Firpo,1942,07,21,paso doble
59,A la francesa,Luis Díaz,Julio De Caro,,,,tango
60,A la francesa,"Armando Laborde, Jorge Rolando",Héctor Varela,,,,milonga
61,A la gran muñeca,,,,,,tango
62,A la gran muñeca,Jorge Omar,Francisco Lomuto,1936,01,15,tango
63,A la gran muñeca,Javier Di Ciriaco,Jorge Arduh,,,,tango
64,A la gran muñeca,Roberto Arrieta,Miguel Caló,1948,01,05,tango
65,A la Huacachina,Roberto Flores,Enrique Rodríguez,1938,06,27,paso doble
66,A la Huacachina,Francisco Amor,Francisco Canaro,1939,02,27,paso doble
67,A la lima y al limón,Guillermo Rico,Francisco Canaro,1944,12,06,vals
68,A la luz de la luna,Tito Schipa,,,,,
69,A la luz de las tabernas,Héctor Mauré,,,,,tango
70,A la luz de un candil,Jorge Casal,Florindo Sassone,1948,03,23,tango
71,A la luz de un candil,Roberto Rufino,Raúl Miguel Garello,1970,11,09,tango
72,A la luz del candil,Edmundo Rivero,,,,,tango
73,A la luz del candil,Jorge Durán,Carlos Di Sarli,1956,09,27,tango
74,A la luz del candil,Mario Pomar,Carlos Di Sarli,1952,09,15,tango
75,A la luz del candil,Carlos Gardel,"Guillermo Barbieri, José Ricardo",1927,07,20,tango
76,A la luz del candil,Jorge Durán,José Basso,,,,tango
77,A la luz del candil,Carlos Del Monte,Lorenzo Barbero,1950,06,16,tango
78,A la luz del candil,Miguel Montero,Armando Cupo,,,,tango
79,A la luz del candil,Miguel Montero,Osvaldo Pugliese,1954,07,14,tango
80,A la luz del candil,Carlos Ortega,Ricardo Tanturi,1937,06,23,tango
81,A la luz del candil,Carlos Acuña,Rodolfo Biagi,1943,03,03,tango
82,A la luz del candil,Edmundo Rivero,-unspecified guitars-,,,,tango
83,A la luz del candil,Edmundo Rivero,-unspecified guitars-,,,,tango
84,A la luz del candil,Ignacio Corsini,-unspecified guitars-,,,,tango
85,A la luz del candil,Ignacio Corsini,,,,,tango
86,A la mar se fue,"Carlos Lafuente, Luis Díaz",Orquesta Típica Victor,1932,12,28,vals
87,A la memoria de Carlos Gardel,Carlos Gardel,,,,,?
88,A la mujer argentina,Floreal Ruíz,José Basso,1956,07,26,tango
89,A la mujer argentina,Luis Mendoza,Juan Sánchez Gorio,,,,tango
90,A la orilla de la mar,Luis Díaz,Edgardo Donato,,,,fado
91,A las siete en el café,Raúl Aldao,Ángel D'Agostino,1943,08,10,tango
92,A las siete en el café,Jorge Ortiz,Miguel Caló,1943,01,20,tango
93,A lo gaucho,Charlo,Francisco Canaro,1929,03,13,tango
95,A lo lejos,Roberto Maida,Francisco Canaro,1930,07,19,vals
96,A lo macho,Roberto Flores,,,,,?
97,A lo Magdalena,Cristóbal Repetto,Daniel Melingo,,,,tango
98,"A lo mejor, quién te dice?",Alfredo Rojas,José García,1942,10,27,tango
99,A Magaldi,"Carlos Dante, Julio Martel",Alfredo De Angelis,1947,10,21,vals
100,A Magaldi,Carlos Dante,-unspecified orchestra-,,,,vals
101,A Magaldi,,,,,,vals
102,A media luz,Carlos Gardel,,,,,tango
103,A media luz,Enzo Valentino,,,,,tango
104,A media luz,Edmundo Rivero,,,,,tango
105,A media luz,Libertad Lamarque,,,,,tango
106,A media luz,Mercedes Simone,,,,,tango
107,A media luz,Mercedes Simone,,,,,tango
108,A media luz,Hugo del Carril,,,,,tango
110,A media luz,Hugo del Carril,,,,,tango
111,A media luz,Hugo del Carril,,,,,tango
112,A media luz,,,,,,?
113,A media luz,Alberto Castillo,Ángel F. Condercuri,1953,03,05,tango
114,A media luz,Nestor Real,Armando Pontier,,,,tango
115,A media luz,Libertad Lamarque,,,,,tango
116,A media luz,,,,,,tango
117,A media luz,Nina Miranda,Donato Racciatti,,,,tango
118,A media luz,Olga Delgrossi,Donato Racciatti,,,,tango
119,A media luz,Andrés Galarce,Edgardo Donato,,,,tango
120,A media luz,Andrés Galarce,Edgardo Donato,1961,11,01,tango
121,A media luz,Carlos Almada,Edgardo Donato,1950,07,07,tango
122,A media luz,Horacio Lagos,Edgardo Donato,1941,10,13,tango
123,A media luz,César Alberú,"Eduardo Bianco, Bachicha",1927,11,03,tango
124,A media luz,Mercedes Simone,Emilio Brameri,,,,tango
125,A media luz,Mercedes Simone,Emilio Brameri,,,,tango
126,A media luz,Mercedes Simone,Emilio Brameri,,,,tango
127,A media luz,Armando Moreno,Enrique Rodríguez,1940,11,20,tango
128,A media luz,Andrés Peyró,Florindo Sassone,1959,10,15,tango
129,A media luz,Alberto Arenas,Francisco Canaro,1951,11,29,tango
130,A media luz,,,,,,electro
131,A media luz,Elba Berón,Aníbal Troilo,,,,tango
132,A media luz,Carlos Gardel,"Guillermo Barbieri, José Ricardo",,,,tango
133,A media luz,Francisco Fiorentino,José Basso,1949,09,16,tango
134,A media luz,,Juan Canaro,,,,tango
135,A media luz,,Manuel Pizarro,,,,tango
136,A media luz,,Manuel Pizarro,,,,tango
137,A media luz,-unspecified male-,Manuel Romeo,,,,tango
138,A media luz,Lucho Gatica,Miguel Caló,,,,tango
139,A media luz,Raúl Del Mar,Miguel Caló,,,,tango
140,A media luz,Raúl Del Mar,Miguel Caló,,,,tango
141,A media luz,Argentino Ledesma,Osvaldo Fresedo,1980,07,04,tango
142,A media luz,"Carlos A. Varela, -choir-",Roberto Firpo,1934,10,19,tango
143,A media luz,Rodolfo Lesica,Héctor Varela,1955,11,01,tango
144,A media luz,-unspecified female-,,,,,tango
145,A media luz,Walter Gutiérrez,Los Solistas de D'Arienzo,,,,tango
146,A media luz,Walter Gutiérrez,Los Solistas de D'Arienzo,,,,tango
147,A media luz,Daniel Cortés,Orquesta Matos Rodríguez,,,,tango
148,A media luz,Hugo del Carril,-unspecified guitars-,,,,tango
149,A media luz,Hugo del Carril,-unspecified guitars-,1946,10,25,tango
150,A media luz,Rosita Quiroga,-unspecified guitars-,1927,02,05,tango
151,A media luz,Monica Lander,-unspecified orchestra-,,,,tango
152,A media luz,Mercedes Simone,-unspecified orchestra-,,,,tango
153,A media luz,Hugo del Carril,-unspecified orchestra-,,,,tango
154,A media noche,Carlos Gardel,"Guillermo Barbieri, José Ricardo",,,,tango
155,A media noche,Carlos Gardel,"Guillermo Barbieri, José Ricardo",,,,tango
156,A media noche,Carlos Viván,Juan Félix Maglio,1929,11,08,tango
157,A Mercedes,Héctor Mauré,Juan D'Arienzo,1943,12,27,vals
158,A mi casa voy,Ernesto Falcón,Enrique Rodríguez,1970,11,10,canción bailable
159,A mi china,Ignacio Corsini,-unspecified guitars-,,,,estilo provinciano
160,A mí dejáme en mi barrio,Juan Carlos Casas,Pedro Laurenz,1942,10,20,tango
161,A mí dejáme en mi barrio,Edmundo Rivero,-unspecified guitars-,1951,08,08,tango
162,A mi hijo,,,,,,
163,A mi juego me han llamao,Luis Díaz,Ricardo Luis Brignolo,,,,milonga criolla
164,A mi madre,Ignacio Corsini,,,,,canción
165,A mi madre,Carlos Gardel,"Ángel Domingo Riverol, Guillermo Barbieri, José María Aguilar",1933,10,25,canción
166,A mi madre,Carlos Gardel,,1930,05,22,canción
167,A mi madre,Carlos Gardel,,1933,10,25,canción
168,A mi madre,Roberto Rufino,"Enrique Francini, Armando Pontier",1948,05,10,vals
169,A mi madrecita,Héctor Palacios,,,,,tango
170,A mi madrecita,Héctor Palacios,-unspecified guitars-,1936,03,25,tango
171,A mi madrecita,Libertad Lamarque,-unspecified orchestra-,1931,11,19,tango
172,A mí me copa el tango,Abel Córdoba,Osvaldo Pugliese,1982,11,15,tango
173,A mí me llaman Juan Tango,Carlos Dante,,,,,tango
174,A mí me llaman Juan Tango,Roberto Rufino,Carlos Di Sarli,1943,11,04,tango
175,A mí me llaman Juan Tango,Raúl Iriarte,Miguel Caló,1943,11,23,tango
176,A mi morocha,José Razzano,José Razzano,,,,estilo
177,A mí no me cambia nadie,Tita Merello,Carlos Figari,1969,11,13,milonga
178,A mí no me den consejos,Ada Falcón,Francisco Canaro,1930,03,31,tango
179,A mí no me den consejos,Charlo,Francisco Canaro,1930,03,14,tango
180,A mí no me den consejos,,,,,,tango
181,A mí no me hablen de penas,Francisco Amor,Francisco Canaro,1941,06,19,tango
182,A mi no me hablen de tango,Rubén Juárez,,,,,tango
183,A mi no me hablen de tango,Roberto Goyeneche,,,,,tango
184,A mí no me hablen de tango,Roberto Goyeneche,Aníbal Troilo,1963,04,23,tango
185,A mí no me hablen de tango,Roberto Goyeneche,Aníbal Troilo,,,,tango
186,A mí no me hablen de tango,Tita Merello,Carlos Figari,1969,10,22,tango
187,A mí no me hablen de tango,Tita Merello,-unspecified orchestra-,,,,tango
188,A mí no me interesa,Andrés Falgás,Rodolfo Biagi,1940,04,12,tango
189,A mi padre,Oscar Larroca,Alfredo De Angelis,1955,10,04,tango
190,A mí que me importa,Jorge Omar,Francisco Lomuto,1939,08,29,tango
191,A mi vieja,Armando Laborde,Juan D'Arienzo,1968,08,27,tango
192,A mis manos,Alfredo del Río,Alfredo J. Gobbi,1955,03,28,milonga
193,A mis manos,Argentino Ledesma,Héctor Varela,1955,05,19,milonga
194,A mis manos,Jorge Casal,-unspecified guitars-,,,,milonga
195,A mis manos,Alberto Marino,-unspecified guitars-,1955,05,19,milonga
196,A mis pagos voy,"Alfredo Belusi, Carlos Rossi",José Basso,,,,tango
197,A mis pagos voy,"Horacio Palma, Jorge Valdez",Juan D'Arienzo,1961,11,20,tango campero
198,A Mitre,Carlos Gardel,Carlos Gardel,,,,vals
199,A Montmartre,Libertad Lamarque,,,,,tango
200,A Montmartre,Luis Scalón,Anselmo A. Aieta,,,,tango
201,A Montmartre,Luis Scalón,Anselmo A. Aieta,1930,06,28,tango
202,A Montmartre,Roberto Díaz,Luis Petrucelli,1929,12,04,tango
203,A Montmartre,Carlos Dante,Rafael Canaro,,,,tango
204,A Montmartre,Carlos Dante,Rafael Canaro,,,,tango
205,A Montmartre,Carlos A. Varela,Roberto Firpo,1930,02,27,tango
206,A Montmartre,Libertad Lamarque,-unspecified orchestra-,1929,11,08,tango
207,A mucha honra,Luis Correa,Miguel Caló,1963,12,04,tango
208,A natalio Pescia,Enrique Campos,Roberto Caló,,,,tango
209,A orillas del nilo,Ignacio Corsini,,1928,12,11,fox trot
210,A orillas del nilo,-,Roberto Firpo,1928,09,22,shimmy
211,A orillas del rio Miño,Alberto Vila,-unspecified guitars-,,,,fado
212,A oscuras,Horacio Lagos,Edgardo Donato,1941,06,11,tango
213,A oscuras,Carlos Viván,Juan Félix Maglio,1929,01,06,tango
214,"A otra cosa, che pebeta",Alberto Castillo,Ricardo Tanturi,1943,03,02,tango
215,A pan y agua,Ángel Vargas,,,,,tango
216,A pan y agua,Ángel Vargas,Ángel D'Agostino,1945,10,02,tango
217,A pan y agua,Ángel Vargas,Armando Lacava,1953,01,06,tango
218,A pesar de todo,Susana Rinaldi,,,,,tango
219,A pesar de todo,Susana Rinaldi,,,,,tango
220,A pesar de todo,Ernesto Famá,Francisco Canaro,1933,09,09,tango
221,A Pique,-unspecified female-,,,,,?
222,A Portugal muchachos,"Agustín Magaldi, Pedro Noda",-unspecified guitars-,1927,03,09,fado
223,A puño limpio,Alberto Echagüe,Juan D'Arienzo,1950,12,27,milonga
224,A qué has venido,Luis Díaz,Ricardo Luis Brignolo,,,,tango
225,A qué has venido,Luis Díaz,Ricardo Luis Brignolo,,,,tango
226,A qué has venido,Agustín Magaldi,-unspecified guitars-,,,,tango
227,A que le llaman distancia,Atahualpa Yupanqui,Atahualpa Yupanqui,1955,10,10,milonga
228,A quien le gano,Ricardo Herrera,Enrique Rodríguez,1948,01,16,tango
229,A quién le puede importar,Floreal Ruíz,,,,,tango
230,A quién le puede importar,Ángel Vargas,Ángel D'Agostino,1945,08,07,tango
231,A quién le puede importar,Ernesto Famá,Francisco Canaro,1940,01,26,tango
232,A quién le puede importar,Fernando Díaz,Francisco Lomuto,1939,12,09,tango
233,A quién le puede importar,Fernando Díaz,Francisco Lomuto,1939,12,19,tango
234,A quién le puede importar,Floreal Ruíz,Raúl Miguel Garello,,,,tango
235,A Quinquela Martin,Roberto Decarre,Color Tango,,,,tango
236,A su memoria,Alberto Marino,,,,,vals
237,A su memoria,Carlos Dante,Alfredo De Angelis,1947,04,23,vals
238,A su memoria,Roberto Rufino,"Enrique Francini, Armando Pontier",1947,03,05,vals
239,A su memoria,Charlo,Francisco Canaro,1931,11,21,vals
240,A su memoria,"Alberto Hilarion Acuña, Fernando Díaz",Francisco Lomuto,1931,10,01,vals
241,A su memoria,"Carlos Acuña, Fernando Díaz",Francisco Lomuto,,,,vals
243,A su memoria,Alberto Gómez,-unspecified guitars-,,,,vals
244,A suerte y verdad,Alberto Castillo,Emilio Balcarce,1944,06,09,tango
245,A suerte y verdad,Alberto Echagüe,Juan D'Arienzo,1944,10,24,tango
246,A suerte y verdad,Carlos Acuña,Rodolfo Biagi,1944,08,11,tango
247,A ti Chile,"Agustín Magaldi, Pedro Noda",-unspecified guitars-,1927,06,04,cueca
248,A tisket a tasket,Roberto Flores,Enrique Rodríguez,1939,06,05,fox trot
249,A toda vela,Charlo,Francisco Canaro,1928,04,11,tango
250,A toda vela,Charlo,Francisco Lomuto,,,,tango
251,A través de los años,Félix Gutiérrez,Pedro Maffia,1934,10,04,tango
252,A través de los años,,Pedro Maffia,1934,10,04,tango
253,A tu lado,Osvaldo Ramos,Juan D'Arienzo,1969,10,20,tango
254,"A tu memoria, madrecita",Elsa Rivas,,,,,vals
255,"A tu memoria, madrecita",Juan Carlos Godoy,Alfredo De Angelis,1959,11,20,vals
256,"A tu memoria, madrecita",Luis Díaz,Los Provincianos,1934,01,30,vals
257,A tu recuerdo,Carlos Dante,Alfredo De Angelis,1954,11,25,tango
258,A tu vera,Armando Moreno,Enrique Rodríguez,1966,10,05,paso doble
259,A un semejante,Susana Rinaldi,,,,,tango
260,A una mujer,Carmen Duval,,,,,vals
261,A una mujer,Carmen Duval,,,,,vals
