,Title,Orchestra,Singer,Record Date,Genre,Duration,Label,Disc type,Disc No.
1,El ingeniero,Carlos Di Sarli y su Orquesta Típica,Instrumental,1952-07-22,Tango,03:20,Music Hall,Vinyl,12105
2,El recodo,Carlos Di Sarli y su Orquesta Típica,Instrumental,1951-10-23,Tango,02:26,Music Hall,Vinyl,12105
3,La cumparsita,Carlos Di Sarli y su Orquesta Típica,Instrumental,1951-07-16,Tango,03:08,Music Hall,Vinyl,12105
4,La cachila,Carlos Di Sarli y su Orquesta Típica,Instrumental,1952-10-06,Tango,03:04,Music Hall,Vinyl,12105
5,Bar exposición,Carlos Di Sarli y su Orquesta Típica,Instrumental,1952-10-27,Tango,02:14,Music Hall,Vinyl,12105
6,Rodriguez Peña,Carlos Di Sarli y su Orquesta Típica,Instrumental,1952-08-04,Tango,03:16,Music Hall,Vinyl,12105
7,Abandono,Pedro Laurenz y su Orquesta Típica,Héctor Farrel,1937-10-18,Tango,02:32,RCA CAMDEN,Vinyl,CAL-3145
8,Vieja amiga,Pedro Laurenz y su Orquesta Típica,Juan Carlos Casas,1938-12-05,Tango,03:10,RCA CAMDEN,Vinyl,CAL-3145
9,Amurado,Pedro Laurenz y su Orquesta Típica,Juan Carlos Casas,1940-07-29,Tango,02:29,RCA CAMDEN,Vinyl,CAL-3145
10,De puro guapo,Pedro Laurenz y su Orquesta Típica,Juan Carlos Casas,1940-01-25,Tango,02:45,RCA CAMDEN,Vinyl,CAL-3145
11,No me extraña,Pedro Laurenz y su Orquesta Típica,Juan Carlos Casas,1940-01-25,Tango,02:43,RCA CAMDEN,Vinyl,CAL-3145
12,Al verla pasar,Pedro Laurenz y su Orquesta Típica,Juan Carlos Casas,1942-07-01,Tango,03:22,RCA CAMDEN,Vinyl,CAL-3145
13,Nunca tuvo novio,Pedro Laurenz y su Orquesta Típica,Alberto Podestá,1943-04-16,Tango,03:13,RCA CAMDEN,Vinyl,CAL-3145
14,Alma de bohemio,Pedro Laurenz y su Orquesta Típica,Alberto Podestá,1943-07-15,Tango,02:42,EMI,Vinyl,EMI-4376
15,Naranjo en flor,Pedro Laurenz y su Orquesta Típica,Jorge Linares,1944-07-18,Tango,02:49,EMI,Vinyl,EMI-4376
16,Milonga de mis amores,Pedro Laurenz y su Orquesta Típica,Instrumental,1944-01-14,Milonga,02:27,EMI,Vinyl,EMI-4376
17,Garúa,Pedro Laurenz y su Orquesta Típica,Alberto Podestá,1943-06-08,Tango,03:10,EMI,Vinyl,EMI-4376
18,Mendocina,Pedro Laurenz y su Orquesta Típica,Carlos Bermúdez y Jorge Linares,1944-12-19,Vals,02:33,EMI,Vinyl,EMI-4376
19,Me están sobrando las penas,Pedro Laurenz y su Orquesta Típica,Carlos Bermúdez,1944-07-08,Tango,02:52,EMI,Vinyl,EMI-4376
20,El pillete,Sexteto Julio De Caro,Instrumental,1927-01-12,Tango,02:51,RCA Victor,Vinyl,AVS-4672
21,Carro viejo,Sexteto Julio De Caro,Instrumental,1928-10-08,Tango,02:42,RCA Victor,Vinyl,AVS-4672
22,Risa loca,Sexteto Julio De Caro,Instrumental,1926-12-16,Tango,03:07,RCA Victor,Vinyl,AVS-4672
23,Gallo ciego,Sexteto Julio De Caro,Instrumental,1927-10-17,Tango,02:39,RCA Victor,Vinyl,AVS-4672
24,Maula,Sexteto Julio De Caro,Instrumental,1927-03-21,Tango,02:53,RCA Victor,Vinyl,AVS-4672
25,Copacabana / Nido de amor,Sexteto Julio De Caro,Instrumental,1927-12-09,Tango,02:34,RCA Victor,Vinyl,AVS-4672
27,Mala junta,Sexteto Julio De Caro,Instrumental,1927-09-13,Tango,03:16,RCA Victor,Vinyl,AVL-3173
28,La rayuela,Sexteto Julio De Caro,Instrumental,1926-09-06,Tango,02:59,RCA Victor,Vinyl,AVL-3173
29,Flores negras,Sexteto Julio De Caro,Instrumental,1927-12-09,Tango,03:09,RCA Victor,Vinyl,AVL-3173
30,Tierra querida,Sexteto Julio De Caro,Instrumental,1927-12-09,Tango,03:06,RCA Victor,Vinyl,AVL-3173
31,Colombina,Sexteto Julio De Caro,Instrumental,1926-06-28,Tango,02:55,RCA Victor,Vinyl,AVL-3173
32,La última cita,Sexteto Julio De Caro,Instrumental,1928-07-19,Tango,02:58,RCA Victor,Vinyl,AVL-3173
33,Adiós pueblo,Sexteto Julio De Caro,Instrumental,1928-08-14,Tango,03:03,RCA Victor,Vinyl,AVL-3173
34,Malena,Lucio Demare y su Orquesta Típica,Instrumental,1968-07-30,Tango,2:06,Disc Jockey,Vinyl,10030
35,Prisionero,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1944-11-14,Tango,02:21,RCA Victor,,60-0575
38,Belén,Sexteto Carlos Di Sarli,Instrumental,1929-10-09,Tango,02:40,RCA Victor,Vinyl,CAL-2994
39,Quién te ve,Sexteto Carlos Di Sarli,Santiago Devin (Devincenzi),1929-12-31,Tango,02:42,RCA Victor,Vinyl,CAL-2994
