,Title,Instrumentalist,Vocalist,Date,Location,Genre,Music Composer,Lyrics Composer,Year of Composition,Recording Info,File ID
0,A bailar,Orquesta Aníbal Troilo,Francisco Fiorentino,1943-11-05,Buenos Aires,Tango,Domingo Federico,Homero Expósito,1943,RCA-Victor 60-0271 77360,
1,A bailar,Orquesta Ricardo Malerba,Orlando Medina,1943-11-08,Buenos Aires,Tango,Domingo Federico,Homero Expósito,1943,Odeon 5558 13342,
2,A bailar,Orquesta José Basso,Alfredo Belusi,1967,Buenos Aires,Tango,Domingo Federico,Homero Expósito,1943,Music Hall 2136,
3,A bailarlo,Orquesta Ricardo Pedevilla,Instrumental,1952-05-06,Buenos Aires,Tango,José Dames,,,Pampa 14035-B,7051
4,A Belisario Roldán,Orquesta Pedro Laurenz,Instrumental,1953-06-25,Buenos Aires,Tango,Enrique Forte,,,Pampa 14149 MAI 1163,
5,A Carlitos Solé,Orquesta Orlando Romanelli,Raúl Soler,1978,Montevideo,Tango,Orlando Romanelli,Florencio Napoli Mañosas,,,7028
6,A Cátulo Castillo,,Susana Rinaldi,1976,Buenos Aires,Tango,Eladia Blázquez,Eladia Blázquez,,Diorama 19.004,3636
7,A cielo partido,Orquesta dirigida por: Gabriel Clenar,Roque Catalano,2015,Buenos Aires,Tango,Marta Pizzo,Marta Pizzo,2008,MP 73713,7541
8,A contramano,,Carlos Gardel,1929-03-01,París,Tango,Luis Teisseire,Juan Andrés Caruso,1928,Odeon 18268 KI-2248/2,7574
9,A Don Javier,Orquesta Roberto Zanoni,Carlos Boledi,1985,Buenos Aires,Tango,Roberto Zanoni,Roberto Vidal,1984,Almalí,7543
10,A Evaristo Carriego,,Instrumental,2001-05-01,Buenos Aires,Tango,Eduardo Rovira,,,Particular C-CD-01 En vivo,1743
11,A Evaristo Carriego,Orquesta Osvaldo Pugliese,Instrumental,1985-12-26,Buenos Aires,Tango,Eduardo Rovira,,,Odeon En el Colón,
12,A Evaristo Carriego,Orquesta Osvaldo Pugliese,Instrumental,1989-06-26,Amsterdam,Tango,Eduardo Rovira,,,Odeon,
13,A Evaristo Carriego,Orquesta Osvaldo Pugliese,Instrumental,1969,Buenos Aires,Tango,Eduardo Rovira,,,Philips 82229 08.1969,
14,A fuego lento,Orquesta Osvaldo Piro,Instrumental,1979-02-07,Buenos Aires,Tango,Horacio Salgán,,,RCA-Victor AVS-4630,
15,A fuego lento,Orquesta Aníbal Troilo,Instrumental,1955,Buenos Aires,Tango,Horacio Salgán,,,T.K. S 5420 1086,
16,A fuego lento,Orquesta Horacio Salgán,Instrumental,1964,Buenos Aires,Tango,Horacio Salgán,,,Philips 8201,1460
