,Title,Instrumentalist,Vocalist,Date,Location,Genre,Music Composer,Lyrics Composer,Year of Composition,Recording Info,File ID
0,A bailar,Orquesta Aníbal Troilo,Francisco Fiorentino,1943-11-05,Buenos Aires,Tango,Domingo Federico,Homero Expósito,1943,RCA-Victor 60-0271 77360,
1,A bailar,Orquesta Ricardo Malerba,Orlando Medina,1943-11-08,Buenos Aires,Tango,Domingo Federico,Homero Expósito,1943,Odeon 5558 13342,
3,A bailarlo,Orquesta Ricardo Pedevilla,Instrumental,1952-05-06,Buenos Aires,Tango,José Dames,,,Pampa 14035-B,7051
4,A Belisario Roldán,Orquesta Pedro Laurenz,Instrumental,1953-06-25,Buenos Aires,Tango,Enrique Forte,,,Pampa 14149 MAI 1163,
8,A contramano,,Carlos Gardel,1929-03-01,París,Tango,Luis Teisseire,Juan Andrés Caruso,1928,Odeon 18268 KI-2248/2,7574
10,A Evaristo Carriego,,Instrumental,2001-05-01,Buenos Aires,Tango,Eduardo Rovira,,,Particular C-CD-01 En vivo,1743
11,A Evaristo Carriego,Orquesta Osvaldo Pugliese,Instrumental,1985-12-26,Buenos Aires,Tango,Eduardo Rovira,,,Odeon En el Colón,
12,A Evaristo Carriego,Orquesta Osvaldo Pugliese,Instrumental,1989-06-26,Amsterdam,Tango,Eduardo Rovira,,,Odeon,
14,A fuego lento,Orquesta Osvaldo Piro,Instrumental,1979-02-07,Buenos Aires,Tango,Horacio Salgán,,,RCA-Victor AVS-4630,
19,A Homero,Orquesta Aníbal Troilo,Roberto Goyeneche,1961-08-18,Buenos Aires,Tango,Aníbal Troilo,Cátulo Castillo,,RCA-Victor AVL-3416 2665,
24,A la criolla,Orquesta Alfredo De Angelis,Instrumental,1961-08-15,Buenos Aires,Tango,Francisco García Jiménez,Anselmo Aieta,,Odeon 55554-B 26776,
25,A la D'Arienzo,Orquesta Juan D'Arienzo,Instrumental,1968-09-13,Buenos Aires,Tango,José Reschini,,1968,RCA-Victor AVL-3819 RAAN-8298,7450
27,A la gran muñeca,Orquesta Alfredo De Angelis,Instrumental,1961-07-28,Buenos Aires,Tango,Jesús Ventura,Miguel Osés,1920,Odeon 52733-B 26695,
28,A la gran muñeca,Orquesta Carlos Di Sarli,Instrumental,1945-08-29,Buenos Aires,Tango,Jesús Ventura,Miguel Osés,1920,RCA-Victor 60-0792 80831,
29,A la gran muñeca,Orquesta Carlos Di Sarli,Instrumental,1954-06-30,Buenos Aires,Tango,Jesús Ventura,Miguel Osés,1920,RCA-Victor 60-1717 S2651,
