,Title,Rhythm,Year of Composition,Music Composer,Lyrics Composer,Genre,Vocalist,Ensemble,Instrumentalist,Recording Info,Duration,File ID
0,A bailar,Tango,1943,Domingo Federico,Homero Expósito,Tango,Francisco Fiorentino,Orquesta,Aníbal Troilo,5-11-1943 Buenos Aires RCA-Victor 60-0271 77360,,
1,A bailar,Tango,1943,Domingo Federico,Homero Expósito,Tango,Orlando Medina,Orquesta,Ricardo Malerba,8-11-1943 Buenos Aires Odeon 5558 13342,,
2,A bailar,Tango,1943,Domingo Federico,Homero Expósito,Tango,Alfredo Belusi,Orquesta,José Basso,1967 Buenos Aires Music Hall 2136,,
3,A bailarlo,Tango,,José Dames,,Tango,Instrumental,Orquesta,Ricardo Pedevilla,6-5-1952 Buenos Aires Pampa 14035-B,02:53,7051
4,A Belisario Roldán,Tango,,Enrique Forte,,Tango,Instrumental,Orquesta,Pedro Laurenz,25-6-1953 Buenos Aires Pampa 14149 MAI 1163,,
5,A Carlitos Solé,Tango,,Orlando Romanelli,Florencio Napoli Mañosas,Tango,Raúl Soler,Orquesta,Orlando Romanelli,1978 Montevideo,03:53,7028
6,A Cátulo Castillo,Tango,,Eladia Blázquez,Eladia Blázquez,Tango,Susana Rinaldi,Con orquesta,,1976 Buenos Aires Diorama 19.004,05:25,3636
7,A cielo partido,Tango,2008,Marta Pizzo,Marta Pizzo,Tango,Roque Catalano,Orquesta dirigida por:,Gabriel Clenar,2015 Buenos Aires MP 73713,03:01,7541
8,A contramano,Tango,1928,Luis Teisseire,Juan Andrés Caruso,Tango,Carlos Gardel,Guitarras de Aguilar. Barbieri y Ricardo,,1-3-1929 París Odeon 18268 KI-2248/2,01:59,7574
9,A Don Javier,Tango,1984,Roberto Zanoni,Roberto Vidal,Tango,Carlos Boledi,Orquesta,Roberto Zanoni,1985 Buenos Aires Almalí,02:41,7543
10,A Evaristo Carriego,Tango,,Eduardo Rovira,,Tango,Instrumental,,Orquesta Contratiempo,1-5-2001 Buenos Aires Particular C-CD-01 En vivo,03:53,1743
11,A Evaristo Carriego,Tango,,Eduardo Rovira,,Tango,Instrumental,Orquesta,Osvaldo Pugliese,26-12-1985 Buenos Aires Odeon En el Colón,,
12,A Evaristo Carriego,Tango,,Eduardo Rovira,,Tango,Instrumental,Orquesta,Osvaldo Pugliese,26-6-1989 Amsterdam Odeon,,
13,A Evaristo Carriego,Tango,,Eduardo Rovira,,Tango,Instrumental,Orquesta,Osvaldo Pugliese,1969 Buenos Aires Philips 82229 08.1969,,
14,A fuego lento,Tango,,Horacio Salgán,,Tango,Instrumental,Orquesta,Osvaldo Piro,7-2-1979 Buenos Aires RCA-Victor AVS-4630,,
15,A fuego lento,Tango,,Horacio Salgán,,Tango,Instrumental,Orquesta,Aníbal Troilo,1955 Buenos Aires T.K. S 5420 1086,,
16,A fuego lento,Tango,,Horacio Salgán,,Tango,Instrumental,Orquesta,Horacio Salgán,1964 Buenos Aires Philips 8201,03:52,1460
17,A fuego lento,Tango,,Horacio Salgán,,Tango,Instrumental,Quinteto,Osvaldo Piro,1986 Paris Attack Y23,,
18,A Guaminí,Vals,,Nelly Omar,Nelly Omar,Vals,Nelly Omar,Orquesta de cuerdas de,José Canet,1979 Buenos Aires Embassy 90.033,,
19,A Homero,Tango,,Aníbal Troilo,Cátulo Castillo,Tango,Roberto Goyeneche,Orquesta,Aníbal Troilo,18-8-1961 Buenos Aires RCA-Victor AVL-3416 2665,,
20,A Homero,Tango,,Aníbal Troilo,Cátulo Castillo,Tango,Roberto Rufino,Orquesta,Osvaldo Requena,1973 Buenos Aires Microfón I 457,,
21,A Homero,Tango,,Aníbal Troilo,Cátulo Castillo,Tango,Roberto Achával,Orquesta,Osvaldo Piro,1977 Buenos Aires RCA-Victor AVS-4489,,
22,A Homero,Tango,,Aníbal Troilo,Cátulo Castillo,Tango,Instrumental,Guitarra de:,Analía Rego,2000 Buenos Aires Analia Rego AGR682,02:46,7165
23,A Horacio Salgán,Tango,,Edgardo Pedroza,,Tango,Instrumental,Orquesta,Puglia-Pedroza,1956 Montevideo Sondor,03:23,7195
24,A la criolla,Tango,,Francisco García Jiménez,Anselmo Aieta,Tango,Instrumental,Orquesta,Alfredo De Angelis,15-8-1961 Buenos Aires Odeon 55554-B 26776,,
25,A la D'Arienzo,Tango,1968,José Reschini,,Tango,Instrumental,Orquesta,Juan D'Arienzo,13-9-1968 Buenos Aires RCA-Victor AVL-3819 RAAN-8298,02:05,7450
26,A la deriva,Tango,1931,Julio Pollero,Luis Coraggio,Tango,Rafael Cisca,Orquesta,Pedro Maffia,1931 Buenos Aires Columbia Record 6034-A,,
27,A la gran muñeca,Tango,1920,Jesús Ventura,Miguel Osés,Tango,Instrumental,Orquesta,Alfredo De Angelis,28-7-1961 Buenos Aires Odeon 52733-B 26695,,
28,A la gran muñeca,Tango,1920,Jesús Ventura,Miguel Osés,Tango,Instrumental,Orquesta,Carlos Di Sarli,29-8-1945 Buenos Aires RCA-Victor 60-0792 80831,,
29,A la gran muñeca,Tango,1920,Jesús Ventura,Miguel Osés,Tango,Instrumental,Orquesta,Carlos Di Sarli,30-6-1954 Buenos Aires RCA-Victor 60-1717 S2651,,
30,A la gran muñeca,Tango,1920,Jesús Ventura,Miguel Osés,Tango,Jorge Omar,Orquesta,Francisco Lomuto,15-1-1936 Buenos Aires RCA-Victor 37871 93079,02:58,2346
31,A la gran muñeca,Tango,1920,Jesús Ventura,Miguel Osés,Tango,Roberto Arrieta,Orquesta,Miguel Caló,5-1-1948 Buenos Aires Odeon 30021 16832,,
32,A la gran muñeca,Tango,1920,Jesús Ventura,Miguel Osés,Tango,Instrumental,Orquesta,Rodolfo Biagi,13-4-1950 Buenos Aires Odeon 55099 17620,,
33,A la gran muñeca,Tango,1920,Jesús Ventura,Miguel Osés,Tango,Instrumental,Orquesta,Carlos Di Sarli,1951 Buenos Aires Music Hall 1001-B BA 1001,02:40,1281
34,A la gran muñeca,Tango,1920,Jesús Ventura,Miguel Osés,Tango,Instrumental,El cuatro de Pepe Basso-Dir:,José Basso,1970 Japón Music Hall 70730,,
35,A la Guardia Imperial,Tango,,José Colángelo,,Tango,Instrumental,Sexteto,José Colángelo,1994 Buenos Aires DBN CD-51.292,03:40,1142
36,A la Guardia Nueva,Tango,,Aníbal Troilo,,Tango,Instrumental,,Aníbal Troilo,1955 Buenos Aires T.K. SF30010 1012,,
37,A la Guardia Nueva,Tango,,Aníbal Troilo,,Tango,Instrumental,,Osvaldo Montes,1990 Alemania Audité 95.418,02:45,6377
38,A la lima y al limón,Vals,,Rafael De León,Manuel López Quiroga,Vals,Guillermo Rico,Orquesta,Francisco Canaro,6-12-1944 Buenos Aires Odeon 5258 14287,,
39,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Carlos Gardel,Guitarras de Barbieri y Ricardo,,22-7-1927 Buenos Aires Odeon 18216 1041/1,02:10,1448
40,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Jorge Durán,Orquesta,Carlos Di Sarli,27-9-1956 Buenos Aires RCA-Victor 1A-1074 S5143,,
41,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Miguel Montero,Orquesta,Osvaldo Pugliese,14-7-1954 Buenos Aires Odeon 55978 19577,,
42,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Roberto Rufino,Orquesta,Raúl Garello,9-11-1970 Buenos Aires RCA-Victor CAL-3279 10863,,
43,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Carlos Ortega,Orquesta,Ricardo Tanturi,23-6-1937 Buenos Aires Odeon 7130 9078,,
44,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Carlos Acuña,Orquesta,Rodolfo Biagi,3-3-1943 Buenos Aires Odeon 5638 12625,,
45,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Mario Pomar,Orquesta,Carlos Di Sarli,1952 Buenos Aires Music Hall 1009A BA 1015,,
46,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Jorge Durán,Orquesta,José Basso,1962 Buenos Aires Music Hall 12239,,
47,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Carlos Bermúdez,,,1970 Ecuador Fadisal,,
48,A la mujer argentina,Tango,,Alejandro Romay,Alejandro Romay,Tango,Floreal Ruiz,Orquesta,José Basso,26-7-1956 Buenos Aires Odeon 51975 21164,,
49,A la mujer argentina,Tango,,Alejandro Romay,Alejandro Romay,Tango,Nina Miranda,,Fernando Córdoba,1957 Buenos Aires Odeon,,
50,A la parrilla,Tango,,Carlos Figari,,Tango,Instrumental,Orquesta,Aníbal Troilo,30-6-1949 Buenos Aires RCA-Victor 60-1805 91321,,
51,A la voz de aura,Ranchera,,Benito Varela,,Ranchera,Instrumental,Orquesta,Pedro Maffia,1930 Buenos Aires Brunswick 1422-A,,
52,A la voz de aura,Ranchera,,Benito Varela,,Ranchera,Instrumental,Orquesta,Pedro Maffia,1930 Buenos Aires Columbia Record 6020-A,,
53,A las estrellas,Tango,,Armando Baliotti,,Tango,Instrumental,Orquesta,Miguel Caló,7-6-1963 Buenos Aires Odeon LDI-545 29199,,
54,A las siete en el café,Tango,,Armando Baliotti,Santiago Adamini,Tango,Raúl Aldao,Orquesta,Ángel D'Agostino,10-8-1943 Buenos Aires RCA-Victor 60-0133 77138,,
55,A las siete en el café,Tango,,Armando Baliotti,Santiago Adamini,Tango,Jorge Ortiz,Orquesta,Miguel Caló,20-1-1943 Buenos Aires Odeon 8373 12498,03:07,1458
